order_id,symbol,order_side,size,price,status,created_at
0,BTC-USDT,SELL,0.75,34010.0,OPEN,1693973108
0,,,,,CLOSED,1693979408
1,BTC-USDT,SELL,0.96,34050.0,OPEN,1693973208
2,BTC-USDT,SELL,0.47,34020.0,OPEN,1693973308
3,BTC-USDT,SELL,0.66,34010.0,OPEN,1693973408
4,BTC-USDT,BUY,0.74,33990.0,OPEN,1693973508
5,BTC-USDT,SELL,0.36,34035.0,OPEN,1693973608
6,BTC-USDT,BUY,0.33,33965.0,OPEN,1693973708
7,BTC-USDT,BUY,0.72,33985.0,OPEN,1693973808
7,,,,,CLOSED,1693982108
8,BTC-USDT,BUY,0.15,33965.0,OPEN,1693973908
9,BTC-USDT,BUY,0.17,33955.0,OPEN,1693974008
9,,,,,CLOSED,1693982508
10,BTC-USDT,BUY,0.87,33965.0,OPEN,1693974108
11,BTC-USDT,BUY,0.86,33990.0,OPEN,1693974208
11,,,,,CLOSED,1693978308
12,BTC-USDT,BUY,0.95,33965.0,OPEN,1693974308
12,,,,,CLOSED,1693979208
13,BTC-USDT,SELL,0.15,34020.0,OPEN,1693974408
14,BTC-USDT,SELL,0.66,34025.0,OPEN,1693974508
15,BTC-USDT,BUY,0.4,33960.0,OPEN,1693974608
16,BTC-USDT,SELL,0.41,34045.0,OPEN,1693974708
17,BTC-USDT,SELL,0.54,34015.0,OPEN,1693974808
17,,,,,CLOSED,1693977608
18,BTC-USDT,BUY,0.76,33990.0,OPEN,1693974908
18,,,,,CLOSED,1693981508
19,BTC-USDT,SELL,0.81,34035.0,OPEN,1693975008
20,BTC-USDT,SELL,0.38,34025.0,OPEN,1693975108
21,BTC-USDT,SELL,0.77,34050.0,OPEN,1693975208
22,BTC-USDT,BUY,0.35,33955.0,OPEN,1693975308
23,BTC-USDT,BUY,0.64,33955.0,OPEN,1693975408
24,BTC-USDT,SELL,0.57,34020.0,OPEN,1693975508
25,BTC-USDT,SELL,0.72,34050.0,OPEN,1693975608
26,BTC-USDT,BUY,0.53,33985.0,OPEN,1693975708
26,,,,,CLOSED,1693977108
27,BTC-USDT,SELL,0.84,34010.0,OPEN,1693975808
28,BTC-USDT,BUY,0.91,33950.0,OPEN,1693975908
29,BTC-USDT,BUY,0.76,33975.0,OPEN,1693976008
30,BTC-USDT,BUY,0.42,33965.0,OPEN,1693976108
